Sample number,X1,X2,X3,X4,Y
49.0,2766380.0053877546,2992744.7031461457,3104853.516003743,3328112.6541889575,2483386.5302709052
50.0,2436337.4854585137,2633804.068500227,2793613.975627846,2954212.9530309737,2129917.9070451097
51.0,2514379.53012736,2702732.176151279,2866264.4123947704,2972986.2559078997,2267281.9841667823
52.0,2747230.1139001665,2906664.648790926,3028799.6057988945,3159138.7220527125,2423639.3047930044
53.0,2673531.8516427567,2791553.3004807224,2890117.6233053994,3012093.777865721,2315874.972115353
54.0,2269966.28872406,2443327.6453388054,2565989.5331665725,2706858.9894794407,1991184.6636578145
55.0,2733926.5915046446,2943211.9772729557,3058203.0939231054,3190924.729577572,2434217.075399865
56.0,2596306.3432214176,2852063.7131659305,3000121.3022585404,3255542.8809652543,2325086.340539749
57.0,2780169.597532544,2916531.5228255545,3082479.439707794,3142257.917941258,2492208.7169196983
58.0,3038529.1384294955,3247207.077136873,3438608.2682681647,3499532.0808435036,2673496.5806347392
59.0,2961287.609538943,3227486.277369317,3348343.3257485433,3466617.0204928853,2637451.061236314
60.0,2661088.3415316497,2892740.2662022915,3049004.657937108,3204826.3151145745,2422317.4524117485
61.0,2419464.46452226,2583066.315525239,2743345.226550454,2900537.951681302,2137159.6577528236
62.0,2977874.976052703,3135285.495952213,3363166.094508715,3450316.6095835874,2565336.280077855
63.0,2698377.9068578337,2924991.848968541,3048481.0827233936,3258459.077317079,2332998.1043826276
64.0,2588426.968309456,2797882.2225954058,3012158.151157904,3172962.967429831,2333061.25512619
65.0,2777335.8897377853,2933171.0142866857,3117533.334605984,3143724.7430056776,2422683.1931037535
66.0,2650136.045218542,2837169.8667428917,3005654.5552834324,3193835.3537501213,2375731.674540142
67.0,2769545.188745011,2960747.101306106,3175394.8993009445,3326152.1359375683,2433622.9362137355
68.0,2735414.8451627977,2985073.170100325,3194220.3060681284,3359490.9172657114,2495253.681101334
69.0,2804357.0919977,2976502.6455983086,3152136.4563056347,3271149.0657516513,2499478.4497837108
70.0,2451107.3265193044,2700172.9365664106,2863877.822406212,3043175.0834085345,2196657.853333885
71.0,2553542.6237482065,2719458.87833176,2821239.580796029,2960908.9139892096,2248292.719808876
72.0,2599540.237594863,2839064.1172948442,2946773.6920396257,3116175.298898047,2310718.4107076456
73.0,2717883.01560891,2920728.687879911,3094673.837391136,3179753.2844245927,2389680.4917983445
74.0,2567133.542402769,2757092.9024662306,2884664.3682899615,3066802.5766244903,2295141.198211931
75.0,2663665.896507783,2848762.833325129,3056007.4050516575,3255627.0839463016,2380092.4144970393
76.0,2806540.660690485,2989833.234919976,3162665.062846671,3254193.1327495296,2500109.5533644427
77.0,2663976.943597455,2835317.079009218,2999551.4663571846,3089106.571484696,2331673.172514365
78.0,2456915.560035849,2681794.2344562802,2882584.426867003,3038740.7279013707,2240953.2019933527
79.0,2513737.6752514057,2641993.5091601545,2746269.139214254,2842487.002520049,2242990.3040756076
80.0,2735280.851738548,2911998.073013292,3108828.3658780907,3136059.382090157,2458188.2875954635
81.0,2362211.2108702064,2591200.295143349,2739064.6490269895,2982403.2231756365,2162989.657869658
82.0,2715565.4301085677,2951272.7587183327,3165261.4377251714,3255732.7949676514,2438008.6991801555
83.0,2815453.5716519477,2981706.422953757,3079002.2331789094,3198824.5800875775,2487048.6274154703
84.0,2710194.813768527,2830365.5826671715,2917630.2625564374,3015786.6815812523,2404102.137957805
85.0,2686146.040220858,2852311.24248764,2955174.0196624496,3090010.921134982,2368321.349388611
86.0,2688009.6840039636,2820609.5978605547,2952934.988574999,3004683.7299152226,2412890.014567833
87.0,2821782.8372766837,3023383.2991316314,3197248.8203418422,3367574.115240493,2419449.792824284
88.0,2716605.080952136,2923936.3317401404,3060673.398790116,3160178.935472703,2421614.310391018
89.0,2707500.107734278,2922432.2183070984,3028942.647997248,3198812.945600161,2433564.1581235854
90.0,2723099.837450494,2881213.859910573,3031756.0815452747,3102804.792816608,2452812.4720918387
91.0,2744699.668264267,2941944.361623365,3029326.4751981203,3283279.350377887,2450102.801624168
92.0,2824557.918765353,3017841.29778156,3256903.509795107,3372850.486168055,2476597.421949159
93.0,2571284.032128637,2865464.4244170072,3008100.773226641,3267140.243951263,2279144.3845282546
94.0,2790382.788413411,3061349.963269526,3229291.95498838,3455944.59429697,2477099.234383115
95.0,2676751.5371461264,2816998.8093633377,2916632.184378422,2985305.9733946244,2404635.3590221987
96.0,2538370.446982228,2696449.57373362,2860890.3229901544,2949736.475048179,2230820.240163799
97.0,2787453.8255271567,2944406.147265497,3055551.4252816024,3136052.689534732,2506792.791577403
98.0,2481046.0323426654,2661215.6061778325,2821388.4545046655,2977964.909449605,2176317.723813194
99.0,2353241.1125722714,2504628.480992446,2656172.986642124,2780313.5019507,2015673.6997226633
100.0,2635548.9983181437,2758495.9859337816,2850388.0659100087,2961442.6106548496,2332329.2896478674
101.0,2529800.4629577547,2697704.0504848347,2884050.525774934,2998863.5979368016,2248158.7660571667
102.0,2506397.371980606,2778665.923939978,2931312.365917079,3051634.4086975325,2280346.2075924007
103.0,2844670.6202918747,3066857.624091552,3281751.9039637647,3352925.6747983955,2496643.0397893135
104.0,2838826.0283977827,2994943.535721634,3182861.676460484,3302364.1561031817,2503009.761744095
105.0,2707130.766484573,2876497.9014170174,3008742.373399983,3048114.7106545004,2312443.306203264
106.0,2726006.675139931,2891411.1933101555,3073252.939542133,3124471.369677908,2296799.772346693
107.0,2402167.6593238027,2536653.262185548,2716689.7573728766,2786582.6068590377,2090800.8702404525
108.0,2746147.546319121,2879069.053028269,2946845.226626538,3007901.7799571166,2456217.0461798455
109.0,2497588.426255071,2629034.3269537487,2796335.306759268,2846551.8957591546,2180159.6591518684
110.0,2559342.980968468,2803522.2791498792,2947733.8095740406,3063202.718619285,2275305.7342890096
111.0,2623586.3804265675,2786153.911569007,2936104.956007173,2979426.9421607153,2285134.711975044
112.0,2469606.580771562,2627906.8054166823,2774636.9818128464,2865277.954613255,2210086.5273566623
113.0,2525552.8502466995,2732998.271779961,2913423.537997543,3043786.873181628,2156932.7585309613
114.0,2736082.2009577756,2936692.414312489,3088918.6045614616,3229824.9862273824,2369475.519773479
115.0,2831449.4178228313,2963601.753575682,3063572.039699288,3163108.1043594405,2502792.0059335395
116.0,2640041.644108105,2833350.026053822,3009939.0953761917,3065946.987905603,2368456.642632376
117.0,2591221.0957276784,2726741.5572967674,2816809.3082404574,2871793.4806078793,2313369.1859067455
118.0,2671260.279384828,2909976.044896891,3085937.7526203357,3293496.4284918443,2392243.636488904
119.0,2846296.91048966,2961186.7812419683,3078844.6486112988,3144684.479684191,2548472.149711652
120.0,2816856.4786109566,2989868.8417388075,3140000.730881077,3196635.4036197504,2533067.468922328
121.0,2647188.227754083,2857657.4137111916,3046757.8819269105,3242041.9895363734,2372363.0665279324
122.0,2638115.0515422854,2824953.414952535,2991611.7518588677,3187722.6829808694,2310876.999497435
123.0,2537428.7311804774,2717374.1594194337,2860625.7190061617,2966611.435135988,2268472.998657106
124.0,2586364.4809967126,2767456.458413654,2906874.0004811147,3024701.7654092843,2311544.767406923
125.0,2577547.4332580194,2747203.8796496987,2882984.7174313674,3016298.923087188,2267957.675043209
126.0,2759083.2174104815,2987917.0478488356,3127507.1040022043,3274242.4636046947,2482111.8652091827
127.0,2584284.9202262075,2741657.918558737,2912638.70284091,2944074.0292361975,2250867.4518842557
128.0,2855080.158553209,3071533.085705149,3238240.7710497524,3339069.469574291,2542367.381780835
129.0,2345232.6410020045,2537114.308192451,2716690.454039884,2866878.431940412,2096420.3774649098
130.0,2521017.543099612,2762816.432451041,2895902.729285977,3003642.7226802623,2304283.074423779
131.0,2560934.990767454,2769461.6885707313,2911554.3110462753,3106300.9499612143,2300740.6895324658
132.0,2410212.903662675,2643957.0586036835,2806880.9010181697,3024111.5673807147,2206074.4464374646
133.0,2826408.1302994513,3003468.725675046,3136735.7780176224,3207796.47241324,2457635.6150263506
134.0,2746238.185230436,2947039.1124788714,3069921.039544159,3287582.470068105,2376947.9737548926
135.0,2602983.887637883,2765229.8346422384,2869334.4303866373,2948864.3886183635,2349726.725558396
136.0,2671351.717433536,2842528.971411011,2996451.720621375,3166109.02974276,2316581.9855219596
137.0,2901827.76252786,3093570.9028010494,3232896.7055563047,3342709.4180294797,2587255.1979547003
138.0,2748314.0793838403,2928105.236340716,3115705.411996357,3236774.5521174474,2467413.952730025
139.0,2388210.119241953,2599031.2653029948,2778539.733419541,2918343.453437735,2085357.3129691572
140.0,2829763.786330344,2976372.7070004493,3096143.8746291753,3180778.7765162033,2540181.963935428
141.0,2472990.6887249127,2703005.6951374407,2832432.1111290334,3053012.3428695085,2249524.0606149677
142.0,2697449.787417923,2988557.952005303,3111146.2067266586,3340367.1466650437,2395195.533714031
143.0,2989674.168388927,3195621.0070495172,3394868.655968074,3458406.3653574297,2629147.341338345
144.0,2679890.8265366717,2841183.7549512815,2940091.8197317105,3014604.612291631,2395403.299952876
145.0,2540325.9468143247,2626408.9096253645,2704034.2710055034,2785057.368025714,2272024.599832628
146.0,2615610.1335937814,2737432.5487576355,2814828.316976384,2895740.970839478,2269814.81507771
147.0,2769218.35783872,2969647.2597920634,3100257.269464993,3215942.061546391,2503232.2311696303
